"tool","precision","recall","f_measure","overlap","counter_tool","counter_txtwerk","dpa_id"
"ambiverse",0.4,0.23076923076923078,0.29268292682926833,6,15,26,"urn:newsml:dpa.com:20090101:170509-99-378335/12"
"ambiverse",0.6578947368421053,0.5813953488372093,0.6172839506172839,25,38,43,"urn:newsml:dpa.com:20090101:170510-99-391388/6"
"ambiverse",0.5641025641025641,0.4,0.46808510638297873,22,39,55,"urn:newsml:dpa.com:20090101:170510-99-400736/2"
"ambiverse",0.4,0.3333333333333333,0.3636363636363636,4,10,12,"urn:newsml:dpa.com:20090101:170511-99-405430/2"
"ambiverse",0.7142857142857143,0.5263157894736842,0.6060606060606061,20,28,38,"urn:newsml:dpa.com:20090101:170511-99-411725/6"
"ambiverse",0.35714285714285715,0.2777777777777778,0.31250000000000006,5,14,18,"urn:newsml:dpa.com:20090101:170512-90-017217/4"
"ambiverse",0.6666666666666666,0.4444444444444444,0.5333333333333333,8,12,18,"urn:newsml:dpa.com:20090101:170512-99-418490/2"
"ambiverse",0.5,0.625,0.5555555555555556,20,40,32,"urn:newsml:dpa.com:20090101:170512-99-423407/14"
"ambiverse",0.5833333333333334,0.3888888888888889,0.4666666666666666,7,12,18,"urn:newsml:dpa.com:20090101:170513-99-437194/1"
"ambiverse",0.4583333333333333,0.39285714285714285,0.4230769230769231,11,24,28,"urn:newsml:dpa.com:20090101:170513-99-439144/5"
"ambiverse",0.8,0.4444444444444444,0.5714285714285714,4,5,9,"urn:newsml:dpa.com:20090101:170514-99-448673/2"
"ambiverse",0.7058823529411765,0.5217391304347826,0.6,12,17,23,"urn:newsml:dpa.com:20090101:170514-99-450464/11"
"ambiverse",0.5811965811965812,0.5151515151515151,0.5461847389558232,68,117,132,"urn:newsml:dpa.com:20090101:170515-99-462806/6"
"ambiverse",0.2,0.15384615384615385,0.17391304347826086,2,10,13,"urn:newsml:dpa.com:20090101:170516-99-466860/2"
"ambiverse",0.5,0.1111111111111111,0.1818181818181818,1,2,9,"urn:newsml:dpa.com:20090101:170516-99-471409/3"
"ambiverse",0.07692307692307693,0.045454545454545456,0.05714285714285715,1,13,22,"urn:newsml:dpa.com:20090101:170516-99-471555/3"
"ambiverse",0.6956521739130435,0.47058823529411764,0.5614035087719297,16,23,34,"urn:newsml:dpa.com:20090101:170517-99-484787/21"
"ambiverse",0.4,0.2,0.26666666666666666,4,10,20,"urn:newsml:dpa.com:20090101:170517-99-493374/8"
"ambiverse",0.625,0.47619047619047616,0.5405405405405405,10,16,21,"urn:newsml:dpa.com:20090101:170518-99-498957/12"
"ambiverse",0.6727272727272727,0.5138888888888888,0.5826771653543307,37,55,72,"urn:newsml:dpa.com:20090101:170518-99-507160/1"
"ambiverse",0.2,0.08333333333333333,0.11764705882352941,1,5,12,"urn:newsml:dpa.com:20090101:170519-99-514139/3"
"ambiverse",0.8235294117647058,0.7,0.7567567567567567,14,17,20,"urn:newsml:dpa.com:20090101:170519-99-515671/4"
"ambiverse",0.5,0.35,0.4117647058823529,7,14,20,"urn:newsml:dpa.com:20090101:170519-99-518190/14"
"ambiverse",0.5384615384615384,0.35,0.4242424242424242,7,13,20,"urn:newsml:dpa.com:20090101:170519-99-520411/7"
"ambiverse",0.4,0.3333333333333333,0.3636363636363636,2,5,6,"urn:newsml:dpa.com:20090101:170519-99-521593/2"
"ambiverse",0.6,0.46153846153846156,0.5217391304347826,6,10,13,"urn:newsml:dpa.com:20090101:170519-99-523889/4"
"ambiverse",0.75,0.75,0.75,9,12,12,"urn:newsml:dpa.com:20090101:170520-99-529303/3"
"ambiverse",0.5483870967741935,0.4722222222222222,0.5074626865671641,17,31,36,"urn:newsml:dpa.com:20090101:170520-99-529692/2"
"ambiverse",0.43478260869565216,0.35714285714285715,0.39215686274509803,10,23,28,"urn:newsml:dpa.com:20090101:170520-99-530123/2"
"ambiverse",0.15625,0.11363636363636363,0.13157894736842105,5,32,44,"urn:newsml:dpa.com:20090101:170522-99-551898/12"
"ambiverse",0.3333333333333333,0.4117647058823529,0.36842105263157887,14,42,34,"urn:newsml:dpa.com:20090101:170522-99-556187/5"
"ambiverse",0.7105263157894737,0.48214285714285715,0.5744680851063829,27,38,56,"urn:newsml:dpa.com:20090101:170523-99-567571/3"
"ambiverse",0.5384615384615384,0.35,0.4242424242424242,14,26,40,"urn:newsml:dpa.com:20090101:170523-99-569260/2"
"ambiverse",0.42857142857142855,0.2,0.27272727272727276,3,7,15,"urn:newsml:dpa.com:20090101:170524-99-577707/2"
"ambiverse",1,0.35294117647058826,0.5217391304347826,6,6,17,"urn:newsml:dpa.com:20090101:170524-99-579907/7"
"ambiverse",0.3333333333333333,0.2857142857142857,0.30769230769230765,2,6,7,"urn:newsml:dpa.com:20090101:170524-99-582074/4"
"ambiverse",0.6101694915254238,0.5,0.5496183206106869,36,59,72,"urn:newsml:dpa.com:20090101:170525-99-598718/4"
"ambiverse",0.7,0.6363636363636364,0.6666666666666666,7,10,11,"urn:newsml:dpa.com:20090101:170526-99-604256/2"
"ambiverse",0.23333333333333334,0.2,0.2153846153846154,7,30,35,"urn:newsml:dpa.com:20090101:170526-99-610102/3"
"ambiverse",0.7142857142857143,0.7142857142857143,0.7142857142857143,10,14,14,"urn:newsml:dpa.com:20090101:170526-99-612770/2"
"ambiverse",0.8571428571428571,0.6666666666666666,0.75,12,14,18,"urn:newsml:dpa.com:20090101:170526-99-612882/2"
"ambiverse",0.4117647058823529,0.4666666666666667,0.43749999999999994,7,17,15,"urn:newsml:dpa.com:20090101:170527-99-617429/4"
"ambiverse",0.5,0.3684210526315789,0.4242424242424242,7,14,19,"urn:newsml:dpa.com:20090101:170527-99-618317/2"
"ambiverse",0.5714285714285714,0.23529411764705882,0.3333333333333333,4,7,17,"urn:newsml:dpa.com:20090101:170527-99-619249/2"
"ambiverse",0.5,0.4666666666666667,0.4827586206896552,7,14,15,"urn:newsml:dpa.com:20090101:170527-99-621674/2"
"ambiverse",0.5555555555555556,0.23809523809523808,0.33333333333333326,10,18,42,"urn:newsml:dpa.com:20090101:170528-99-626865/2"
"ambiverse",0.5,0.13333333333333333,0.2105263157894737,2,4,15,"urn:newsml:dpa.com:20090101:170528-99-626919/3"
"ambiverse",0.5,0.36585365853658536,0.4225352112676056,15,30,41,"urn:newsml:dpa.com:20090101:170528-99-627876/3"
"ambiverse",0.42857142857142855,0.15789473684210525,0.23076923076923078,3,7,19,"urn:newsml:dpa.com:20090101:170529-99-635596/14"
"ambiverse",0.48484848484848486,0.36363636363636365,0.4155844155844156,16,33,44,"urn:newsml:dpa.com:20090101:170529-99-636063/3"
"ambiverse",0.18181818181818182,0.08333333333333333,0.1142857142857143,2,11,24,"urn:newsml:dpa.com:20090101:170530-99-652208/5"
"ambiverse",1,0.75,0.8571428571428571,3,3,4,"urn:newsml:dpa.com:20090101:170530-99-652872/1"
"ambiverse",0.35714285714285715,0.38461538461538464,0.3703703703703704,5,14,13,"urn:newsml:dpa.com:20090101:170530-99-655011/8"
"ambiverse",0.5,0.45454545454545453,0.47619047619047616,5,10,11,"urn:newsml:dpa.com:20090101:170530-99-656619/2"
"ambiverse",0.25,0.16,0.19512195121951217,4,16,25,"urn:newsml:dpa.com:20090101:170530-99-659063/4"
"ambiverse",0.5384615384615384,0.4666666666666667,0.5,7,13,15,"urn:newsml:dpa.com:20090101:170531-99-666630/3"
"ambiverse",0.3333333333333333,0.14285714285714285,0.2,2,6,14,"urn:newsml:dpa.com:20090101:170531-99-671441/7"
"ambiverse",0.6666666666666666,0.35294117647058826,0.46153846153846156,6,9,17,"urn:newsml:dpa.com:20090101:170601-99-681552/2"
"ambiverse",0.6,0.45,0.5142857142857143,9,15,20,"urn:newsml:dpa.com:20090101:170601-99-683131/2"
"ambiverse",0.38461538461538464,0.19230769230769232,0.2564102564102564,5,13,26,"urn:newsml:dpa.com:20090101:170601-99-683403/3"
"ambiverse",0.4634146341463415,0.40425531914893614,0.4318181818181818,19,41,47,"urn:newsml:dpa.com:20090101:170601-99-683616/7"
